GIP_GXP,TRADING_DATE,TRADING_PERIOD,PRICE
OTA2201,10/01/07,45,35.28
OTA2201,10/01/07,46,23.29
OTA2201,10/01/07,47,23.25
OTA2201,10/01/07,48,27.95
OTA2201,11/01/07,1,29.05
OTA2201,11/01/07,2,28.97
OTA2201,11/01/07,3,28.11
OTA2201,11/01/07,4,29.41
OTA2201,11/01/07,5,27.06
OTA2201,11/01/07,6,28.88
OTA2201,11/01/07,7,27.26
OTA2201,11/01/07,8,26.19
OTA2201,11/01/07,9,25.65
OTA2201,11/01/07,10,25.71
OTA2201,11/01/07,11,30.55
OTA2201,11/01/07,12,26.4
OTA2201,11/01/07,13,22.89
OTA2201,11/01/07,14,22.5
OTA2201,11/01/07,15,25.78
OTA2201,11/01/07,16,26.85
OTA2201,11/01/07,17,36.63
OTA2201,11/01/07,18,38.3
OTA2201,11/01/07,19,40.73
OTA2201,11/01/07,20,39.56
OTA2201,11/01/07,21,40.41
OTA2201,11/01/07,22,39.97
OTA2201,11/01/07,23,39.45
OTA2201,11/01/07,24,39.39
OTA2201,11/01/07,25,39.57
OTA2201,11/01/07,26,40.43
OTA2201,11/01/07,27,39.79
OTA2201,11/01/07,28,40.37
OTA2201,11/01/07,29,40.51
OTA2201,11/01/07,30,40.22
OTA2201,11/01/07,31,40.95
OTA2201,11/01/07,32,40.96
OTA2201,11/01/07,33,39.56
OTA2201,11/01/07,34,33.04
OTA2201,11/01/07,35,28.1
OTA2201,11/01/07,36,28.24
OTA2201,11/01/07,37,38.79
OTA2201,11/01/07,38,29.86
OTA2201,11/01/07,39,29.34
OTA2201,11/01/07,40,27.86
OTA2201,11/01/07,41,28.53
OTA2201,11/01/07,42,29.85
OTA2201,11/01/07,43,34.39
OTA2201,11/01/07,44,33.82
OTA2201,11/01/07,45,38.31
OTA2201,11/01/07,46,38.35
OTA2201,11/01/07,47,37.55
OTA2201,11/01/07,48,36.93
OTA2201,12/01/07,1,37.91
OTA2201,12/01/07,2,37.53
OTA2201,12/01/07,3,38.45
OTA2201,12/01/07,4,38.34
OTA2201,12/01/07,5,37.54
OTA2201,12/01/07,6,37.6
OTA2201,12/01/07,7,36.72
OTA2201,12/01/07,8,36.59
OTA2201,12/01/07,9,37.56
OTA2201,12/01/07,10,36.58
OTA2201,12/01/07,11,35.32
OTA2201,12/01/07,12,35.26
OTA2201,12/01/07,13,35.52
OTA2201,12/01/07,14,32.82
OTA2201,12/01/07,15,33.28
OTA2201,12/01/07,16,37.35
OTA2201,12/01/07,17,40.12
OTA2201,12/01/07,18,40.85
OTA2201,12/01/07,19,40.96
OTA2201,12/01/07,20,42.23
OTA2201,12/01/07,21,42.44
OTA2201,12/01/07,22,41.63
OTA2201,12/01/07,23,41.68
OTA2201,12/01/07,24,41.95
OTA2201,12/01/07,25,42.59
OTA2201,12/01/07,26,43.92
OTA2201,12/01/07,27,44.55
OTA2201,12/01/07,28,41.21
OTA2201,12/01/07,29,48.68
OTA2201,12/01/07,30,48.33
OTA2201,12/01/07,31,48.7
OTA2201,12/01/07,32,48.37
OTA2201,12/01/07,33,39.82
OTA2201,12/01/07,34,40.36
OTA2201,12/01/07,35,39.81
OTA2201,12/01/07,36,40.03
OTA2201,12/01/07,37,37.7
OTA2201,12/01/07,38,32.62
OTA2201,12/01/07,39,32.62
OTA2201,12/01/07,40,32.28
OTA2201,12/01/07,41,36.7
OTA2201,12/01/07,42,36.58
OTA2201,12/01/07,43,29.42
OTA2201,12/01/07,44,29.29
OTA2201,12/01/07,45,35.42
OTA2201,12/01/07,46,29.03
OTA2201,12/01/07,47,38.8
OTA2201,12/01/07,48,28.23
OTA2201,13/01/07,1,38.49
OTA2201,13/01/07,2,35.8
OTA2201,13/01/07,3,35.1
OTA2201,13/01/07,4,38.51
OTA2201,13/01/07,5,34.57
OTA2201,13/01/07,6,36.13
OTA2201,13/01/07,7,35.58
OTA2201,13/01/07,8,31.4
OTA2201,13/01/07,9,35.16
OTA2201,13/01/07,10,34.58
OTA2201,13/01/07,11,33.09
OTA2201,13/01/07,12,33.27
OTA2201,13/01/07,13,33.27
OTA2201,13/01/07,14,32.67
OTA2201,13/01/07,15,33.04
OTA2201,13/01/07,16,34.27
OTA2201,13/01/07,17,33.21
OTA2201,13/01/07,18,39.44
OTA2201,13/01/07,19,40.13
OTA2201,13/01/07,20,28.15
OTA2201,13/01/07,21,37.66
OTA2201,13/01/07,22,38.19
OTA2201,13/01/07,23,39.53
OTA2201,13/01/07,24,41.13
OTA2201,13/01/07,25,41.12
OTA2201,13/01/07,26,40.68
OTA2201,13/01/07,27,39.47
OTA2201,13/01/07,28,39.42
OTA2201,13/01/07,29,39.47
OTA2201,13/01/07,30,36.07
OTA2201,13/01/07,31,39.04
OTA2201,13/01/07,32,39.47
OTA2201,13/01/07,33,39.47
OTA2201,13/01/07,34,39.19
OTA2201,13/01/07,35,39.13
OTA2201,13/01/07,36,39.14
OTA2201,13/01/07,37,37.21
OTA2201,13/01/07,38,37.25
OTA2201,13/01/07,39,39.26
OTA2201,13/01/07,40,39.39
OTA2201,13/01/07,41,37.88
OTA2201,13/01/07,42,35.84
OTA2201,13/01/07,43,33.83
OTA2201,13/01/07,44,31.91
OTA2201,13/01/07,45,37.27
OTA2201,13/01/07,46,37.07
OTA2201,13/01/07,47,35.88
OTA2201,13/01/07,48,23.06
OTA2201,14/01/07,1,31.64
OTA2201,14/01/07,2,23.05
OTA2201,14/01/07,3,22.48
OTA2201,14/01/07,4,31.13
OTA2201,14/01/07,5,30.43
OTA2201,14/01/07,6,30.63
OTA2201,14/01/07,7,30.43
OTA2201,14/01/07,8,30.43
OTA2201,14/01/07,9,29.47
OTA2201,14/01/07,10,26.61
OTA2201,14/01/07,11,26.81
OTA2201,14/01/07,12,29.63
OTA2201,14/01/07,13,28.22
OTA2201,14/01/07,14,27.35
OTA2201,14/01/07,15,24.87
OTA2201,14/01/07,16,25.48
OTA2201,14/01/07,17,25.45
OTA2201,14/01/07,18,28.81
OTA2201,14/01/07,19,24.76
OTA2201,14/01/07,20,25.79
OTA2201,14/01/07,21,23.93
OTA2201,14/01/07,22,23.77
OTA2201,14/01/07,23,23.6
OTA2201,14/01/07,24,30.4
OTA2201,14/01/07,25,23.56
OTA2201,14/01/07,26,23.45
OTA2201,14/01/07,27,17.41
OTA2201,14/01/07,28,20.72
OTA2201,14/01/07,29,22.68
OTA2201,14/01/07,30,22.54
OTA2201,14/01/07,31,12.86
OTA2201,14/01/07,32,13.19
OTA2201,14/01/07,33,33.81
OTA2201,14/01/07,34,34.12
OTA2201,14/01/07,35,33.29
OTA2201,14/01/07,36,35.82
OTA2201,14/01/07,37,35.65
OTA2201,14/01/07,38,32.02
OTA2201,14/01/07,39,17.24
OTA2201,14/01/07,40,25.48
OTA2201,14/01/07,41,17.11
OTA2201,14/01/07,42,16.67
OTA2201,14/01/07,43,25.56
OTA2201,14/01/07,44,25.56
OTA2201,14/01/07,45,24.98
OTA2201,14/01/07,46,24.81
OTA2201,14/01/07,47,24.55
OTA2201,14/01/07,48,20.41
OTA2201,15/01/07,1,25.06
OTA2201,15/01/07,2,18.79
OTA2201,15/01/07,3,18.79
OTA2201,15/01/07,4,18.27
OTA2201,15/01/07,5,18.26
OTA2201,15/01/07,6,18.19
OTA2201,15/01/07,7,18.17
OTA2201,15/01/07,8,17.8
OTA2201,15/01/07,9,17.84
OTA2201,15/01/07,10,17.84
OTA2201,15/01/07,11,20.32
OTA2201,15/01/07,12,21.46
OTA2201,15/01/07,13,20.43
OTA2201,15/01/07,14,20.38
OTA2201,15/01/07,15,22.61
OTA2201,15/01/07,16,26.16
OTA2201,15/01/07,17,26.16
OTA2201,15/01/07,18,30.53
OTA2201,15/01/07,19,31.66
OTA2201,15/01/07,20,30.79
OTA2201,15/01/07,21,35.43
OTA2201,15/01/07,22,35.43
OTA2201,15/01/07,23,39.82
OTA2201,15/01/07,24,39.81
OTA2201,15/01/07,25,39.81
OTA2201,15/01/07,26,38.39
OTA2201,15/01/07,27,39.81
OTA2201,15/01/07,28,41.16
OTA2201,15/01/07,29,39.86
OTA2201,15/01/07,30,34.02
OTA2201,15/01/07,31,39.15
OTA2201,15/01/07,32,41.12
OTA2201,15/01/07,33,41.54
OTA2201,15/01/07,34,39.86
OTA2201,15/01/07,35,36.18
OTA2201,15/01/07,36,35.63
OTA2201,15/01/07,37,33.67
OTA2201,15/01/07,38,28.33
OTA2201,15/01/07,39,34.68
OTA2201,15/01/07,40,27.33
OTA2201,15/01/07,41,26.02
OTA2201,15/01/07,42,26.28
OTA2201,15/01/07,43,26.85
OTA2201,15/01/07,44,26.1
OTA2201,15/01/07,45,26.19
OTA2201,15/01/07,46,25.82
OTA2201,15/01/07,47,23.61
OTA2201,15/01/07,48,22.55
OTA2201,16/01/07,1,23.22
OTA2201,16/01/07,2,26
OTA2201,16/01/07,3,25.88
OTA2201,16/01/07,4,26.48
OTA2201,16/01/07,5,21.41
OTA2201,16/01/07,6,21.39
OTA2201,16/01/07,7,25.36
OTA2201,16/01/07,8,25.36
OTA2201,16/01/07,9,25.36
OTA2201,16/01/07,10,25.32
OTA2201,16/01/07,11,29.97
OTA2201,16/01/07,12,25.48
OTA2201,16/01/07,13,25.31
OTA2201,16/01/07,14,26.5
OTA2201,16/01/07,15,26.45
OTA2201,16/01/07,16,31.41
OTA2201,16/01/07,17,31.34
OTA2201,16/01/07,18,39.87
OTA2201,16/01/07,19,39.94
OTA2201,16/01/07,20,39.96
OTA2201,16/01/07,21,39.95
OTA2201,16/01/07,22,39.9
OTA2201,16/01/07,23,41.61
OTA2201,16/01/07,24,40.89
OTA2201,16/01/07,25,43.65
OTA2201,16/01/07,26,42.05
OTA2201,16/01/07,27,43.14
OTA2201,16/01/07,28,41.16
OTA2201,16/01/07,29,37.72
OTA2201,16/01/07,30,37.73
OTA2201,16/01/07,31,38.01
OTA2201,16/01/07,32,36.06
OTA2201,16/01/07,33,32.07
OTA2201,16/01/07,34,32.22
OTA2201,16/01/07,35,33.43
OTA2201,16/01/07,36,31.44
OTA2201,16/01/07,37,31.45
OTA2201,16/01/07,38,31.36
OTA2201,16/01/07,39,31.43
OTA2201,16/01/07,40,27.9
OTA2201,16/01/07,41,27.82
OTA2201,16/01/07,42,27.85
OTA2201,16/01/07,43,29.35
OTA2201,16/01/07,44,31.44
OTA2201,16/01/07,45,31.42
OTA2201,16/01/07,46,31.83
OTA2201,16/01/07,47,29.36
OTA2201,16/01/07,48,28.33
OTA2201,17/01/07,1,31.29
